+Acr	+ACR
+Predet	+PreDet	Pre-determiner
+Apos	+Apos	Apostrophe
+Detnt	+Det+Neu	(two distinct tags)
+Loc	+Loc
+Top	+Top	Toponym, we have +Sem/Plc
+Ant	+Ant	Antrophonym, we have +Sem/Hum
+Cog	+Cog	Cognomen
+Al	+Al	Altres, do not know what that is
+Enc	+Enc	Enlitic
+Pro	+Pro	Proclitic
+Tn	+Tn	Tonic
+N	+N
+Np	+N+Prop
+Adj	+A
+F	+Fem
+M	+Msc
+Mf	+MF	(this is in use for nob)
+Sg	+Sg
+Pl	+Pl
+Adv	+Adv
+Preadv	+PreAdv
+Pr	+Pr
+Prn	+Pron
+Rel	+Rel
+Nn	+Inan	Inanimate, used in Cree
+An	+AnIn	This we do not have for other lgs (Animate or Inanimate)	
+Aa	+Anim
+Ind	+Indef	Indefinite
+Itg	+Interr	
+Det	+Det
+Dem	+Dem
+Def	+Def
+Cnjcoo	+Cnjcoo
+Cnjsub	+Cnjsub
+Cnjadv	+Cnjadv
+Nt	+Neu	Neuter
+Vbser	+Vbser	Conjugations of 'ser'
+Vbhaver	+Vbhaver	Conjugations of 'haber'
+Vblex	+V
+Vbmod	+Vmod	Here we have no tag for other lgs
+Inf	+Inf
+Ger	+Ger
+Pp	+PrfPrc	past participle / perfective participle, kanskje +IpfPrc
+Pri	+Ind+Prs
+P1+Sg	+Sg1
+P2+Sg	+Sg2
+P3+Sg	+Sg3
+P1+Pl	+Pl1
+P2+Pl	+Pl2
+P3+Pl	+Pl3
+Pii	+Ind+PrtImprf	We have +Prt, but Spanish is different
+Ifi	+Ind+PrtIndef
+Fti	+Ind+Fut
+Cni	+Cond	
+Prs	+Sbj+Prs
+Pis	+Sbj+PrtImprf
+Fts	+Sbj+Fut	future subjunctive
+Imp	+Imp
+Pos	+Poss
+Sp	+SP	Singular or plural, we do not have this one
+Ref	+Refl
+Sup	+Superl
+Num	+Num
+Ij	+Interj
+Ord	+Ord
+Sent	+Sent
+Cm	+CLB
+Lpar	+PUNCT+LEFT
+Rpar	+PUNCT+RIGHT
+Lquest	+LQst
+Web	+Web	Links and emails
